Athena,Athena/アテナ
access,アクセス
account,アカウント
action,アクション
active,アクティブ
administrivia,この文書について/付記
aggregate software,集合ソフトウェア/ソフトウェア集成
algebra,代数
algorithm,アルゴリズム
anonymous ftp,匿名 FTP
application,アプリケーション
architecture,アーキテクチャ
archive,アーカイブ
array,配列
asynchronous,非同期
author,作成者/著者/作者
avail,利用可能
axis,軸
backbone,バックボーン
base system,基本システム
binary,バイナリ
binding,バインディング
bitmap,ビットマップ
bitwise-or,ビットごとの論理和
boot,(システムの) 起動
boot loader,ブートローダ
boot sector,ブートセクタ
browser,ブラウザ
bug control server,バグコントロールサーバ
bug horizon,バグホライズン
bug number,バグ番号
bug report,バグ報告
bug request server,バグリクエストサーバ
bug tracking system,バグ追跡システム
cartesian,デカルト
character,文字
client,クライアント
close,(バグの) クローズ/解決
code,[名] コード
command,コマンド
command line option,コマンドラインオプション
command line parameter,コマンドライン引き数
commercial,商用
compatible,互換
compile,コンパイル
compiler,コンパイラ
complex number,複素数
component,構成要素/コンポーネント
computer,コンピュータ
conference,カンファレンス
configuration,設定/構成
configuration file,設定ファイル
configure,設定
conflict,競合 (する)
control file,制御ファイル
control information file,制御情報ファイル
control-file-name,制御ファイル名
control-information,制御情報
critical bug,critical バグ/致命的バグ
Debian,Debian
Debian Project,Debian プロジェクト
Debian archive file,Debian アーカイブファイル
data,データ
decode,デコード
decoding,デコーディング
deconfiguration,設定を無効にする
deep freeze,ディープフリーズ/完全凍結
default,デフォルト
define,定義
degree,角度
description ,(パッケージ) 説明 (文)
dial-up,ダイヤルアップ
directory,ディレクトリ
display,[名] ディスプレイ/[動] 表示
distribute,配布
distribution,ディストリビューション
distribution maintainer,ディストリビューションメンテナ
distributor,配布業者
document,文書
documentation,ドキュメンテーション
driver disk,driver ディスク
dynamic,動的
email,電子メール
encode,エンコード
encoding,エンコーディング
engine,エンジン
environment variable,環境変数
explorer,エクスプローラ
FIFO,FIFO
factorize,因数分解
file,ファイル
filesystem tree,ファイルシステム木
filter,フィルタ
firewall,ファイアウォール
fixed bug,fixed バグ/修正済バグ
flavour,フレーバー
footer,フッタ
forgotten by dpkg,dpkg に管理されていない
format,フォーマット
fowarded,forwarded/転送済
fowarded bug,forwarded バグ/転送済バグ
fraction,分数/有理数
framework,フレームワーク
free software,フリーソフトウェア
