ACKNOWLEDGEMENTS,謝辞(.Sh)[jpman]
AUTHORS,作者(.Sh)[jpman]
AVAILABILITY,入手性(.Sh)[jpman]
BLOCKING MODES,"ブロッキングモード(.Sh)[jpman,section4]"
BUGS,バグ(.Sh)[jpman]
CAPABILITIES,ケーパビリティ(.Sh)[gettytab.5]
CAVEATS,警告(.Sh)[jpman]
COMMANDS,コマンド(.Sh)[jpman]
COMPATIBILITY,互換性(.Sh)[jpman]
CONFIGURATION,"設定(.Sh)[jpman,section4]"
CONTRIBUTERS,協力者(.Sh)[jpman]
COPYING,COPYING(.Sh)[jpman] (節の内容も原文のままとする)
COPYING PERMISSIONS,COPYING PERMISSIONS(.Sh)[jpman] (節の内容も原文のままとする)
COPYRIGHT,COPYRIGHT(.Sh)[jpman] (節の内容も原文のままとする)
CROSS REFERENCE(S),参照(.Sh)[POSIX]
CRT,CRT[termcap.5]
Coordinated Universal Time,協定世界時[POSIX]
DESCRIPTION,解説(.Sh)[jpman]
DIAGNOSTICS,診断(.Sh)[jpman]
DRIVER CONFIGURATION,"ドライバの設定(.Sh)[jpman,section4]"
ENVIRONMENT,環境変数(.Sh)[jpman]
ERASE character,ERASE 文字[POSIX]
ERRORS,エラー(.Sh)[jpman]
EXAMPLE(S),使用例、実行例(.Sh)[jpman]
Epoch,基準時点(協定世界時 1970年1月1日 00:00:00)[POSIX]
FEATURES,特徴(.Sh)[jpman]
FIFO,FIFO[POSIX]
FIFO special file,FIFO型特殊ファイル[POSIX]
FILE MARK HANDLING,"ファイルマークの扱い(.Sh)[jpman,section4]"
FILES,関連ファイル(.Sh)[jpman]
FQDN,完全な形でのドメイン名[rc.conf.5](fully-qualified-domain-name参照)
FreeBSD SYNOPSIS,"FreeBSD での書式(.Sh)[jpman,section4]"
HISTORY,歴史(.Sh)[jpman]
I/O activity,入出力動作[POSIX]
IDENTIFICATION,作者(.Sh)[jpman]
IMPLEMENTATION NOTE,実装に関する注(.Sh)[jpman]
INTERFACES,"インタフェース(.Sh)[jpman,section4]"
IOCTLS,"IOCTL(.Sh)[jpman,section4]"
IRV,ISO646 国際参照版[POSIX]
Internetworking,"インターネットワーク,相互接続網[ethers.5]"
Julian day,ユリウス日[POSIX]
KERNEL CONFIGURATION,"カーネルの設定(.Sh)[jpman,section4]"
KERNEL OPTIONS,"カーネルのオプション(.Sh)[jpman,section4]"
KILL character,KILL 文字[POSIX]
LIBRARY,ライブラリ(.Sh)[jpman]
Language-Specific Services,言語特有のサービス[POSIX]
Leap days,うるう日[POSIX]
MIB VARIABLES,"MIB の変数(.Sh)[jpman,section4]"
MOUNT SESSIONS,"マウントセッション(.Sh)[jpman,section4]"
NAME,名称(.Sh)[jpman]
NOTE,注 (notice の意の場合があるため[man-jp 1672])
NOTES,注(.Sh)[jpman]
NULL pointer,NULL ポインタ[POSIX]
NUMBERING,"番号(.Sh)[jpman,section4]"
NetBSD SYNOPSIS,"NetBSD での書式(.Sh)[jpman,section4]"
Null-terminated,ヌル文字で終わる[POSIX]
OPTIONS,オプション(.Sh)[jpman]
PARTITIONING,"パーティション(.Sh)[jpman,section4]"
POSIX.1,POSIX.1[POSIX]
RETURNS,戻り値(.Sh)[POSIX では「返却値」だが「戻り値」]
Referenced C Language routines,参照されたプログラム言語 C ルーチン[POSIX]
SEE,関連項目(.Sh)[jpman]
SEE ALSO,関連項目(.Sh)[jpman]
STANDARDS,規格(.Sh)[jpman]
START character,START 文字[POSIX]
STOP character,STOP 文字[POSIX]
SUPPORTED CARDS,"サポートされているカード(.Sh)[jpman,section4]"
SYNOPSIS,書式(.Sh)[jpman]
Strictly Conforming,厳密に適合する[POSIX]
USAGE,使用法(.Sh)[jpman]
WARNING,"警告(.Sh)[jpman,section4]"
West of Prime Meridian,西半球[POSIX]
X Window System,X Window System
abnormal termination,異常終了[POSIX]
absolute pathname,絶対パス名[POSIX]
absolute value,絶対値[POSIX]
access mode,アクセスモード[POSIX]
access permission(s),アクセス許可[POSIX]
accessibility,アクセス許可の有無[POSIX]
account,アカウント[acct.5]
accounting file,アカウンティングファイル[acct.5]
additional file access control mechanism,追加ファイルアクセス制御機構[POSIX]
address space,アドレス空間[POSIX]
advisory record locking,問合せ型レコードロック[POSIX]
alarm clock,アラームクロック[POSIX]
alias,"(名)別名(sendmail),エイリアス(csh)(動)エイリアスする(sendmail)[aliases.5,csh.1]"
alignment,境界調整[POSIX]
allocation resources,割当て資源[POSIX]
altanatives,選択肢(複数から1つを選ぶときの)[general]
alternate file access control mechanism,代替ファイルアクセス制御機構[POSIX]
angle bracket,山括弧[term] (< と > のこと)
application(s),アプリケーション ([POSIX] では「応用プログラム」だが「アプリケーション」とする)
appropriate privileges,適切な権限[POSIX]
archive file,アーカイブファイル[POSIX]
argument,"引数 (JIS では 引き数,実引き数(parameter と対比された場合)[POSIX] となっているかもしれないが、jpman では引数とする)"
argument list,引数並び (引き数並び[POSIX])
array of char,char 型の配列[POSIX]
array of character pointer,文字型ポインタの配列[POSIX]
associate with,結び付けられた(ストリームとファイルに用いる)[POSIX]
associated,結び付けられた[POSIX]
asynchronous,非同期[POSIX]
asynchronous serial data communication,非同期直列データ通信[POSIX]
asynchronous serial data transmission,非同期直列データ転送[POSIX]
atomic,不可分な[POSIX]
attribute,"属性[POSIX,termcap.5]"
authenticate,"認証する[ntp,exports.5]"
authentication,"認証[ntp,exports.5]"
auto negotiation,オートネゴシエーション
background,バックグラウンド(プロセスの実行状態の一つ)
background color,背景色[termcap.5]
background process,バックグラウンドプロセス
background process group,バックグラウンドプロセスグループ[POSIX]
backward compatibility,以前との互換性[POSIX]
banner,バナー[gettytab.5]
baud rate,ボーレート
be freed,開放される[POSIX]
behavior,動作[POSIX]
binary,バイナリ(バイナリーでなく)[kana]
binary streams,バイナリのストリーム[POSIX]
bitwise,ビット単位の[POSIX]
bitwise distinct,ビット単位に識別可能[POSIX]
bitwise inclusive OR,ビット単位のOR[POSIX]
block,(シグナルを)ブロックする[POSIX]
block,(シグナルを）遮断する[POSIX]
block special file,ブロック型特殊ファイル[POSIX]
blocking,待たせる(読取り書込みについて)[POSIX]
boolean value,ブール値[term.5]
bottom margin,下マージン[termcap.5]
bracket expression,角括弧式[re_format.5]
branch,"枝[rcsfile.5,re_format.5]"
branch point,分岐点[rcsfile.5]
break condition,ブレーク条件[POSIX]
"buffer, to buffer",バッファリングする[POSIX]
buffering,バッファリング[POSIX]
burst,バースト[POSIX]
call,呼び出し[general]
calling process,呼び出し元プロセス[POSIX]
calling process image,呼び出し元プロセスイメージ[POSIX]
canonical mode,標準モード[POSIX]
capability,"ケーパビリティ[termcap.5,terminfo.5]"
caret,キャレット (`^' のこと)
carriage return,"復帰文字[JIS],初出は「復帰文字(carriage return)」"
case,ケース (大文字/小文字)[re_format.5]
catch (a signal),(シグナルを)捕そく(捉)する[POSIX]
character,文字
character device,キャラクタ型デバイス
character handling,文字操作[POSIX]
character special file,キャラクタ型特殊ファイル
check out,"(通常の文中では)チェックアウトする [cvs.1,cvs.5]"
child process,子プロセス[POSIX]
claim,表明する[POSIX]
class,クラス[POSIX]
clear,0に設定する[POSIX](文脈により値を変えるなど変更OK)
clock tick,時間単位[POSIX]
close,クローズする(ファイルを)[POSIX]
close-on-exec flag,実行時クローズフラグ[POSIX]
collation element,照合要素[re_format.5]
collation sequence,照合文字列
collation,照合[POSIX]
column,"列(通常は)[column.1,...],桁(画面上の横座標の場合)[termcap.5,terminfo.5]"
column tab,カラムタブ[map3270.5]
comma,コンマ[gettytab.5]
command interpreter,コマンドインタプリタ[POSIX]
comment,コメント
commit,"(通常の文中では)コミット(する) [cvs.1,cvs.5]"
communication,通信[POSIX]
communications network,通信ネットワーク[POSIX]
compile,コンパイル[POSIX]
component,"構成,構成要素[POSIX]"
concatination,連結
concurrent version system,"コンカレントバージョンシステム [cvs.1,cvs.5]"
condition,条件[POSIX]
configurable,構成可能な[POSIX]
configuration file,設定ファイル(構成ファイルでなく)[intro.5]
conformance,適合[POSIX]
conformance document,適合文書[POSIX]
conforming system,適合するシステム[POSIX]
construct,構成要素[POSIX]
context,コンテキスト(コンテクストでなく)[kana]
contiguous,隣接している[POSIX]
continuous stream,連続したストリーム[POSIX]
controlling,制御[POSIX]
controlling process,制御プロセス[POSIX]
controlling terminal,制御端末[POSIX]
convention,"伝統的に…になっている,約束[termcap.5]"
copy,コピー(する)
corresponding value,対応値[POSIX]
create,生成する(ファイルを)[POSIX]
creation,生成[POSIX]
credential,"(認証を受けた結果の)資格証明(状況に応じ工夫必要)[ntp,exports.5]"
criteria,基準[POSIX]
current state,現在の状態[POSIX]
current working directory,現在の作業ディレクトリ[POSIX]
data structure,データ構造[POSIX]
date,日付[POSIX]
deassignment,解放[POSIX]
decimal number,10進数の数[POSIX]
default,デフォルト[general]
default action,デフォルトの操作
default branch,"デフォルトの枝(指定なしで最新と判断されるリビジョン)[rcsdiff.1,rcs.1,co.1]"
defect list,ディフェクトリスト[camcontrol.8]
defined type,データ型定義[POSIX]
delay,遅延[gettytab.5]
deliver (a signal),(シグナルを)配送する[POSIX]
descriptor,記述子[POSIX]
designation,指示[POSIX]
detection,検出[POSIX]
device,デバイス(/dev 下のデバイスファイル関連のもの)
device special file,デバイス型特殊ファイル
directory,ディレクトリ[POSIX]
directory entry,ディレクトリエントリ[POSIX]
directory stream,ディレクトリストリーム[POSIX]
directive,"ディレクティブ(命令、指令の類)[C,stab.5]"
discard,破棄する[POSIX]
display,描画する[termcap.5]
dot,ドット[POSIX]
dot-dot,ドットドット[POSIX]
duplicate,複製する[POSIX]
east of Prime Meridian,東半球[POSIX]
effective group ID,実効グループ ID[POSIX]
effective user ID,実効ユーザ ID
elapsed real time,経過した実時間[POSIX]
empty directory,空きディレクトリ[POSIX]
empty name,空の名前[POSIX]
empty pipe,空パイプ[POSIX]
empty set,空集合[POSIX]
empty string,空の文字列[POSIX]
encoding,"エンコーディング,エンコード[方式|方法](POSIX では「表現形式」だが)"
end of file indication,ファイル終了表示[POSIX]
end-of-archive indicator,アーカイブファイル終了表示子[POSIX]
end-of-file,ファイルの終わり[POSIX]
end-of-media,媒体の終わり[POSIX]
entry,エントリ(エントリーでなく)[kana]
