Acceptance,受け入れ
Access Management,アクセス管理
Account Manager,アカウント・マネージャ
Accounting,会計業務
Accredited,認定
Active Monitoring,能動的モニタリング
Activity,活動
Agreed Service Time,合意済みサービス時間
Agreement,合意
Alert,アラート
Analytical Modelling,分析モデル化
Application,アプリケーション
Application Management,アプリケーション管理
Application Portfolio,アプリケーション・ポートフォリオ
Application Service Provider (ASP),アプリケーション・サービス・プロバイダ（ASP）
Application Sizing,アプリケーション・サイジング
Architecture,アーキテクチャ
Assembly,アセンブリ
Assessment,アセスメント
Asset,資産
Asset Management,資産管理
Asset Register,資産台帳
Attribute,属性
Audit,監査
Authority Matrix,職務権限マトリクス
Automatic Call Distribution (ACD),自動着信呼分配(ACD)
Availability,可用性
Availability Management,可用性管理
Availability Management Information System (AMIS),可用性管理情報システム（AMIS）
Availability Plan,可用性計画
Back-out,切り戻し
Backup,バックアップ
Balanced Scorecard,バランス・スコアカード
Baseline,ベースライン
Benchmark,ベンチマーク
Benchmarking,ベンチマーキング
Best Practice,ベストプラクティス
Brainstorming,ブレインストーミング
British Standards Institution (BSI),英国規格協会（BSI）
Budget,予算
Budgeting,予算業務
Build,構築
Build Environment,構築環境
Business,事業体
Business Capacity Management (BCM),事業キャパシティ管理（BCM）
Business Case,ビジネス・ケース
Business Continuity Management (BCM),事業継続性管理（BCM）
Business Continuity Plan (BCP),事業継続性計画（BCP）
Business Customer,事業顧客
Business Impact Analysis (BIA),ビジネス・インパクト分析（BIA）
Business Objective,事業達成目標
Business Operations,事業運営
Business Perspective,ビジネスの観点
Business Process,ビジネス・プロセス
Business Relationship Management,事業関係管理
Business Relationship Manager (BRM),事業関係マネージャ（BRM）
Business Service,ビジネス・サービス
Business Service Management (BSM),ビジネス・サービス管理（BSM）
Business Unit,事業部門
Call,コール
Call Centre,コールセンタ
Call Type,コール・タイプ
Capability,能力
Capability Maturity Model (CMM),能力成熟度モデル（CMM）
Capability Maturity Model Integration (CMMI),能力成熟度モデル統合版（CMMI）
Capacity,キャパシティ
Capacity Management,キャパシティ管理
Capacity Management Information System (CMIS),キャパシティ管理情報システム（CMIS）
Capacity Plan,キャパシティ計画
Capacity Planning,キャパシティ計画立案
Capital Expenditure (CAPEX),資本的支出（CAPEX）
Capital Item,資本アイテム
Capitalization,資本化
Category,カテゴリ
Certification,認証
Change,変更
Change Advisory Board (CAB),変更諮問委員会（CAB）
Change Case,変更ケース
Change History,変更履歴
Change Management,変更管理
Change Model,変更モデル
Change Record,変更レコード
Change Request,変更の要求
Change Schedule,変更スケジュール
Change Window,変更時間帯
Charging,課金
Chronological Analysis,時系列分析
CI Type,CIタイプ
Classification,分類
Client,クライアント
Closed,クローズ済み
Closure,クローズ
COBIT,COBIT
Code of Practice,実践のための規範（COP）
Cold Standby,コールド・スタンバイ
Commercial off the Shelf (COTS),既製品（COTS）
Compliance,遵守性
Component,コンポーネント
Component Capacity Management (CCM),コンポーネント・キャパシティ管理（CCM）
Component CI,コンポーネントCI
Component Failure Impact Analysis (CFIA),コンポーネント障害インパクト分析（CFIA）
Computer Telephony Integration (CTI),コンピュータ電話統合（CTI）
Concurrency,並行性
Confidentiality,機密性
Configuration,構成
Configuration Baseline,構成ベースライン
Configuration Control,構成コントロール
Configuration Identification,構成識別
Configuration Item (CI),構成アイテム（CI）
Configuration Management,構成管理
Configuration Management Database (CMDB),構成管理データベース（CMDB）
Configuration Management System (CMS),構成管理システム（CMS）
Configuration Record,構成レコード
Configuration Structure,構成構造
Continual Service Improvement (CSI),継続的サービス改善（CSI）
Continuous Availability,継続的可用性
Continuous Operation,継続的運用
Contract,契約
Contract Portfolio,契約ポートフォリオ
Control,コントロール
Control Objectives for Information and related Technology (COBIT),Control Objectives for Information and related Technology（COBIT）
Control perspective,コントロールの観点
Control Processes,コントロール・プロセス
Core Service,コアサービス
Core Service Package (CSP),コアサービス・パッケージ（CSP）
Cost,コスト
Cost Benefit Analysis,費用便益分析
Cost Centre,コスト・センタ
Cost Effectiveness,費用対効果
Cost Element,原価要素
Cost Management,コスト管理
Cost Type,原価費目
Cost Unit,原価単位
Countermeasure,対策
Course Corrections,軌道修正
CRAMM,CRAMM
Crisis Management,危機管理
Critical Success Factor (CSF),重要成功要因（CSF）
Culture,カルチャ
Customer,顧客
Customer Portfolio,顧客ポートフォリオ
